Home Score,Category,Away Score
60,Field Goals Attempted,57
29,Field Goals Made,21
48.3%,Field Goals %,36.8%
38,2-Point Field G. Attempted,33
22,2-Point Field Goals Made,13
57.9%,2-Point Field Goals %,39.4%
22,3-Point Field G. Attempted,24
7,3-Point Field Goals Made,8
31.8%,3-Point Field Goals %,33.3%
14,Free Throws Attempted,12
9,Free Throws Made,10
64.3%,Free Throws %,83.3%
8,Offensive Rebounds,12
25,Defensive Rebounds,25
33,Total Rebounds,37
12,Assists,14
1,Blocks,3
6,Turnovers,12
7,Steals,5
18,Personal Fouls,18
