Home Score,Category,Away Score
67,Field Goals Attempted,59
36,Field Goals Made,27
53.7%,Field Goals %,45.8%
37,2-Point Field G. Attempted,29
24,2-Point Field Goals Made,19
64.9%,2-Point Field Goals %,65.5%
30,3-Point Field G. Attempted,30
12,3-Point Field Goals Made,8
40%,3-Point Field Goals %,26.7%
23,Free Throws Attempted,9
21,Free Throws Made,8
91.3%,Free Throws %,88.9%
12,Offensive Rebounds,7
26,Defensive Rebounds,19
38,Total Rebounds,26
23,Assists,18
2,Blocks,1
9,Turnovers,17
12,Steals,7
16,Personal Fouls,24
