Home Score,Category,Away Score
20,Field Goals Attempted,19
9,Field Goals Made,6
45%,Field Goals %,31.6%
11,2-Point Field G. Attempted,12
8,2-Point Field Goals Made,4
72.7%,2-Point Field Goals %,33.3%
9,3-Point Field G. Attempted,7
1,3-Point Field Goals Made,2
11.1%,3-Point Field Goals %,28.6%
3,Free Throws Attempted,3
2,Free Throws Made,2
66.7%,Free Throws %,66.7%
4,Offensive Rebounds,3
9,Defensive Rebounds,7
13,Total Rebounds,10
5,Assists,3
1,Blocks,0
5,Turnovers,5
3,Steals,2
4,Personal Fouls,6
