Home Score,Category,Away Score
68,Field Goals Attempted,67
33,Field Goals Made,31
48.5%,Field Goals %,46.3%
36,2-Point Field G. Attempted,37
19,2-Point Field Goals Made,17
52.8%,2-Point Field Goals %,45.9%
32,3-Point Field G. Attempted,30
14,3-Point Field Goals Made,14
43.8%,3-Point Field Goals %,46.7%
23,Free Throws Attempted,20
15,Free Throws Made,16
65.2%,Free Throws %,80%
12,Offensive Rebounds,11
26,Defensive Rebounds,23
38,Total Rebounds,34
20,Assists,21
5,Blocks,1
8,Turnovers,9
5,Steals,6
21,Personal Fouls,25
