Home Score,Category,Away Score
66,Field Goals Attempted,59
33,Field Goals Made,26
50%,Field Goals %,44.1%
40,2-Point Field G. Attempted,34
22,2-Point Field Goals Made,19
55%,2-Point Field Goals %,55.9%
26,3-Point Field G. Attempted,25
11,3-Point Field Goals Made,7
42.3%,3-Point Field Goals %,28%
29,Free Throws Attempted,31
20,Free Throws Made,20
69%,Free Throws %,64.5%
9,Offensive Rebounds,10
29,Defensive Rebounds,25
38,Total Rebounds,35
17,Assists,19
3,Blocks,2
11,Turnovers,17
10,Steals,4
25,Personal Fouls,29
