Home Score,Category,Away Score
70,Field Goals Attempted,56
30,Field Goals Made,28
42.9%,Field Goals %,50%
33,2-Point Field G. Attempted,33
19,2-Point Field Goals Made,21
57.6%,2-Point Field Goals %,63.6%
37,3-Point Field G. Attempted,23
11,3-Point Field Goals Made,7
29.7%,3-Point Field Goals %,30.4%
24,Free Throws Attempted,23
19,Free Throws Made,18
79.2%,Free Throws %,78.3%
18,Offensive Rebounds,3
26,Defensive Rebounds,21
44,Total Rebounds,24
21,Assists,15
3,Blocks,3
16,Turnovers,17
9,Steals,12
20,Personal Fouls,25
