matchId,eventTime,homeTeam,awayTeam
g_3_vB1mWEHF,26.04. 01:00,Orlando Magic,Cleveland Cavaliers
g_3_KQKMGlzJ,26.04. 01:30,Philadelphia 76ers,New York Knicks
g_3_Y3JvY4Nq,26.04. 04:00,Los Angeles Lakers,Denver Nuggets
g_3_IycJjeHk,26.04. 23:30,Indiana Pacers,Milwaukee Bucks
g_3_z9yhs90c,27.04. 02:00,Dallas Mavericks,Los Angeles Clippers
g_3_IigrhQEF,27.04. 04:30,Phoenix Suns,Minnesota Timberwolves
g_3_Y9fdUhnS,27.04. 19:00,Orlando Magic,Cleveland Cavaliers
g_3_hnPMNbrm,27.04. 21:30,New Orleans Pelicans,Oklahoma City Thunder
g_3_4ErZazZr,28.04. 00:00,Miami Heat,Boston Celtics
g_3_UVCmWrhd,28.04. 02:30,Los Angeles Lakers,Denver Nuggets
g_3_CK78vhSP,28.04. 19:00,Philadelphia 76ers,New York Knicks
g_3_rZv0umV9,28.04. 21:30,Dallas Mavericks,Los Angeles Clippers
g_3_E3jSlZo2,29.04. 01:00,Indiana Pacers,Milwaukee Bucks
g_3_48ijj4qS,29.04. 03:30,Phoenix Suns,Minnesota Timberwolves
g_3_xtdtbE3e,29.04. 22:00,Miami Heat,Boston Celtics
g_3_QaNULxDa,29.04. 22:00,New Orleans Pelicans,Oklahoma City Thunder
g_3_4dTtOD64,30.04. 22:00,Milwaukee Bucks,Indiana Pacers
g_3_repuKinJ,02.05. 01:30,Boston Celtics,Miami Heat
g_3_KKFEp2gM,02.05. 04:00,Los Angeles Clippers,Dallas Mavericks
