Category Name,Home Value,Away Value
Field Goals Attempted,16,17
Field Goals Made,7,5
Field Goals %,43.8%,29.4%
2-Point Field G. Attempted,8,15
2-Point Field Goals Made,5,5
2-Point Field Goals %,62.5%,33.3%
3-Point Field G. Attempted,8,2
3-Point Field Goals Made,2,0
3-Point Field Goals %,25%,0%
Free Throws Attempted,4,11
Free Throws Made,4,10
Free Throws %,100%,90.9%
Offensive Rebounds,3,6
Defensive Rebounds,7,6
Total Rebounds,10,12
Assists,5,1
Blocks,5,3
Turnovers,6,6
Steals,4,4
Personal Fouls,7,5
