matchId,eventTime,homeTeam,awayTeam
g_3_OKY7eovU,26.04. 12:45,Galil Elyon,Hapoel Haifa
g_3_2o4IFlPo,30.04. 17:00,Hapoel Jerusalem,Maccabi Ironi Ramat Gan
g_3_lrvq1kAh,30.04. 17:15,Hapoel Beer Sheva,Ironi Kiryat Ata
g_3_INVac79H,01.05. 17:45,Hapoel Eilat,Hapoel Holon
g_3_trOvCCNH,01.05. 19:45,Bnei Herzliya,Hapoel Tel-Aviv
