55-62
55-63
58-63
60-63
62-63
62-65
62-66
62-67
63-67
64-67
66-67
66-68
66-70
69-70
69-72
69-74
69-75
70-75
71-75
71-77
73-77
73-78
73-79
75-79
75-80
75-81
