Category Name,Home Value,Away Value
Field Goals Attempted,22,17
Field Goals Made,11,8
Field Goals %,50%,47.1%
2-Point Field G. Attempted,13,14
2-Point Field Goals Made,9,8
2-Point Field Goals %,69.2%,57.1%
3-Point Field G. Attempted,9,3
3-Point Field Goals Made,2,0
3-Point Field Goals %,22.2%,0%
Free Throws Attempted,0,8
Free Throws Made,0,8
Free Throws %,0%,100%
Offensive Rebounds,4,4
Defensive Rebounds,4,7
Total Rebounds,8,11
Assists,3,3
Blocks,2,1
Turnovers,2,2
Steals,2,1
Personal Fouls,6,3
