matchId,eventTime,homeTeam,awayTeam
g_3_zBf2qzXk,28.04. 14:30,Le Portel,Le Mans
g_3_8dvM34I4,28.04. 16:30,Lyon-Villeurbanne,Saint Quentin
g_3_QZJqwvgJ,28.04. 19:05,Paris,JL Bourg
g_3_hn5cpGHq,30.04. 20:00,Boulogne-Levallois,Strasbourg
g_3_QXlH4p3b,30.04. 20:00,Chalon/Saone,Paris
g_3_GMsU1rmH,30.04. 20:00,Cholet,Dijon
g_3_nmwQ2OXA,30.04. 20:00,Gravelines-Dunkerque,JL Bourg
g_3_CUpD5Qmh,30.04. 20:00,Nancy,Roanne
g_3_I7o966Yo,30.04. 20:00,Nanterre,Ada Blois
g_3_vuoh6cv3,04.05. 16:00,Paris,Roanne
g_3_0lnl7wPd,04.05. 18:03,Strasbourg,Ada Blois
g_3_rXs92FwS,04.05. 18:30,Gravelines-Dunkerque,Boulogne-Levallois
g_3_lEKybZoq,04.05. 18:30,JL Bourg,Nancy
g_3_nob6rfnd,04.05. 18:30,Nanterre,Dijon
g_3_dGuc5Hg9,04.05. 21:00,Chalon/Saone,Saint Quentin
g_3_z7v14y9F,05.05. 16:30,Monaco,Cholet
g_3_UTw53eOL,05.05. 19:00,Le Mans,Limoges
g_3_S4Jucg1k,05.05. 19:00,Lyon-Villeurbanne,Le Portel
g_3_2agIACVl,11.05. 19:15,Ada Blois,Monaco
g_3_8xfEBhGr,11.05. 19:15,Boulogne-Levallois,Nanterre
g_3_6T7nGY7R,11.05. 19:15,Cholet,Chalon/Saone
g_3_A1EwIfwF,11.05. 19:15,Dijon,Le Mans
g_3_lhDsHEhL,11.05. 19:15,Le Portel,Paris
g_3_MuYrdDGe,11.05. 19:15,Limoges,JL Bourg
g_3_GvFZIzO8,11.05. 19:15,Nancy,Gravelines-Dunkerque
g_3_2yBVJG82,11.05. 19:15,Roanne,Lyon-Villeurbanne
g_3_0WWneXV1,11.05. 19:15,Saint Quentin,Strasbourg
