Category Name,Home Value,Away Value
Field Goals Attempted,18,14
Field Goals Made,5,8
Field Goals %,27.8%,57.1%
2-Point Field G. Attempted,7,5
2-Point Field Goals Made,3,2
2-Point Field Goals %,42.9%,40%
3-Point Field G. Attempted,11,9
3-Point Field Goals Made,2,6
3-Point Field Goals %,18.2%,66.7%
Free Throws Attempted,0,6
Free Throws Made,0,4
Free Throws %,0%,66.7%
Offensive Rebounds,4,2
Defensive Rebounds,4,9
Total Rebounds,8,11
Assists,3,6
Blocks,0,0
Turnovers,2,1
Steals,0,2
Personal Fouls,6,3
