Home Score,Category,Away Score
8,Field Goals Attempted,27
8,Field Goals Made,6
100%,Field Goals %,22.2%
3,2-Point Field G. Attempted,21
5,2-Point Field Goals Made,5
100%,2-Point Field Goals %,23.8%
5,3-Point Field G. Attempted,6
3,3-Point Field Goals Made,1
60%,3-Point Field Goals %,16.7%
9,Free Throws Attempted,3
6,Free Throws Made,3
66.7%,Free Throws %,100%
14,Offensive Rebounds,7
19,Defensive Rebounds,14
33,Total Rebounds,21
14,Assists,2
2,Blocks,4
10,Turnovers,11
6,Steals,0
14,Personal Fouls,13
