Home Score,Category,Away Score
62,Field Goals Attempted,64
34,Field Goals Made,33
54.8%,Field Goals %,51.6%
43,2-Point Field G. Attempted,34
26,2-Point Field Goals Made,19
60.5%,2-Point Field Goals %,55.9%
19,3-Point Field G. Attempted,30
8,3-Point Field Goals Made,14
42.1%,3-Point Field Goals %,46.7%
14,Free Throws Attempted,12
9,Free Throws Made,8
64.3%,Free Throws %,66.7%
11,Offensive Rebounds,11
21,Defensive Rebounds,18
32,Total Rebounds,29
21,Assists,21
0,Blocks,3
14,Turnovers,12
9,Steals,6
16,Personal Fouls,15
