Home Score,Category,Away Score
54,Field Goals Attempted,66
25,Field Goals Made,26
46.3%,Field Goals %,39.4%
27,2-Point Field G. Attempted,43
16,2-Point Field Goals Made,19
59.3%,2-Point Field Goals %,44.2%
27,3-Point Field G. Attempted,23
9,3-Point Field Goals Made,7
33.3%,3-Point Field Goals %,30.4%
28,Free Throws Attempted,14
20,Free Throws Made,10
71.4%,Free Throws %,71.4%
10,Offensive Rebounds,13
26,Defensive Rebounds,21
36,Total Rebounds,34
17,Assists,8
0,Blocks,1
11,Turnovers,10
6,Steals,6
16,Personal Fouls,24
