Home Score,Category,Away Score
58,Field Goals Attempted,61
29,Field Goals Made,25
50%,Field Goals %,41%
36,2-Point Field G. Attempted,31
19,2-Point Field Goals Made,13
52.8%,2-Point Field Goals %,41.9%
22,3-Point Field G. Attempted,30
10,3-Point Field Goals Made,12
45.5%,3-Point Field Goals %,40%
16,Free Throws Attempted,15
15,Free Throws Made,10
93.8%,Free Throws %,66.7%
7,Offensive Rebounds,10
28,Defensive Rebounds,21
35,Total Rebounds,31
22,Assists,15
6,Blocks,1
9,Turnovers,11
6,Steals,5
21,Personal Fouls,18
