Home Score,Category,Away Score
62,Field Goals Attempted,65
26,Field Goals Made,29
41.9%,Field Goals %,44.6%
39,2-Point Field G. Attempted,41
20,2-Point Field Goals Made,24
51.3%,2-Point Field Goals %,58.5%
23,3-Point Field G. Attempted,24
6,3-Point Field Goals Made,5
26.1%,3-Point Field Goals %,20.8%
19,Free Throws Attempted,18
12,Free Throws Made,14
63.2%,Free Throws %,77.8%
8,Offensive Rebounds,12
21,Defensive Rebounds,29
29,Total Rebounds,41
13,Assists,12
4,Blocks,8
17,Turnovers,19
12,Steals,5
27,Personal Fouls,21
