Home Score,Category,Away Score
59,Field Goals Attempted,65
23,Field Goals Made,31
39%,Field Goals %,47.7%
31,2-Point Field G. Attempted,32
16,2-Point Field Goals Made,18
51.6%,2-Point Field Goals %,56.3%
28,3-Point Field G. Attempted,33
7,3-Point Field Goals Made,13
25%,3-Point Field Goals %,39.4%
17,Free Throws Attempted,22
9,Free Throws Made,15
52.9%,Free Throws %,68.2%
12,Offensive Rebounds,9
27,Defensive Rebounds,26
39,Total Rebounds,35
6,Assists,24
6,Blocks,3
23,Turnovers,11
7,Steals,10
24,Personal Fouls,18
